id,display_name,package_name,type,uri,summary,source_code
"9bf18129-0612-428b-bfa4-2edf7884b1fc","ENHSPOTCOMPSPOT","SEEF_BASE","TABL/DT","/sap/bc/adt/ddic/tables/enhspotcompspot","",""
"08dc59a8-4e13-4923-9788-74ac076c59e0","T880","GBASCORE","TABL/DT","/sap/bc/adt/ddic/tables/t880","",""
"SAPLMGMM_SCREEN_4004","SAPLMGMM_SCREEN_4004","SAPLMGMM","SCREEN","","",""
"SAPLMGMM_SCREEN_4005","SAPLMGMM_SCREEN_4005","SAPLMGMM","SCREEN","","",""
"SAPLMGMM_SCREEN_4020","SAPLMGMM_SCREEN_4020","SAPLMGMM","SCREEN","","",""
"SAPLMGMM_SCREEN_4030","SAPLMGMM_SCREEN_4030","SAPLMGMM","SCREEN","","",""
"6a3415d0-3676-4cb4-a203-590e45307c17","MATERIAL_DEQUEUE","MGA","FUGR/FF","/sap/bc/adt/functions/groups/mg02/fmodules/material_dequeue","",""
"SAPLMGMM_SCREEN_4040","SAPLMGMM_SCREEN_4040","SAPLMGMM","SCREEN","","",""
"SAPLMGMM_SCREEN_4104","SAPLMGMM_SCREEN_4104","SAPLMGMM","SCREEN","","",""
"975bc16f-9ed1-4de8-bc99-1b339f810e80","MGDIALOG","MGA","TABL/DS","/sap/bc/adt/ddic/structures/mgdialog","",""
"eade7170-eefb-43b7-8454-12b0a2147b9a","/NFM/TBASIC_GET","/NFM/CA","PROG/I","/sap/bc/adt/programs/includes/%2fnfm%2ftbasic_get","",""
"6cfd4ae9-1292-4f0b-8054-92107ce75edd","T460A","MD","TABL/DT","/sap/bc/adt/ddic/tables/t460a","",""
"SAPLMGMM_SCREEN_4110","SAPLMGMM_SCREEN_4110","SAPLMGMM","SCREEN","","",""
"SAPLMGMM_SCREEN_4200","SAPLMGMM_SCREEN_4200","SAPLMGMM","SCREEN","","",""
"SAPLMGMM_SCREEN_4300","SAPLMGMM_SCREEN_4300","SAPLMGMM","SCREEN","","",""
"24abdf1d-acb0-437d-8e66-fb32be946884","MMG01I01","MGA","PROG/I","/sap/bc/adt/programs/includes/mmg01i01","",""
"SAPLMGMM_SCREEN_5110","SAPLMGMM_SCREEN_5110","SAPLMGMM","SCREEN","","",""
"SAPLMGMM_SCREEN_5200","SAPLMGMM_SCREEN_5200","SAPLMGMM","SCREEN","","",""
"SAPLMGMM_SCREEN_5300","SAPLMGMM_SCREEN_5300","SAPLMGMM","SCREEN","","",""
"74135ba7-0561-4600-9700-2ad7a1ff3626","MAEX_AUTHORITY_CHECK","MGA","FUGR/FF","/sap/bc/adt/functions/groups/mg02/fmodules/maex_authority_check","",""
"261218eb-4d83-4071-813c-9f2215a6a19b","LMGMMI32","MGA","FUGR/I","/sap/bc/adt/functions/groups/mgmm/includes/lmgmmi32","",""
"SAPLMGMM_SCREEN_6000","SAPLMGMM_SCREEN_6000","SAPLMGMM","SCREEN","","",""
"14216865-8041-467e-81e9-3a8c2a9996d3","LMGMMF3K","MGA","FUGR/I","/sap/bc/adt/functions/groups/mgmm/includes/lmgmmf3k","",""
"8f6e251c-39c8-412f-b120-3ca43c3e380a","/SAPMP/CL_CMTSBV","/SAPMP/PP_CMTSBVAL","CLAS/OC","/sap/bc/adt/oo/classes/%2fsapmp%2fcl_cmtsbv","",""
"a04870e0-9085-4ba8-9203-a8e61d63bed7","T881_KEYFIG","GBAS","TABL/DT","/sap/bc/adt/ddic/tables/t881_keyfig","",""
"a050815a-fae3-432f-acec-c01d48638ab8","CHANGE_CHECK_OTHER_MAT_DATA","MGA","FUGR/FF","/sap/bc/adt/functions/groups/mgin/fmodules/change_check_other_mat_data","",""
"a054f8b3-4066-4798-9585-fa2707a6e68a","FINS_ACDOCA_CLR_RDIFF_INSERT","FINS_ACDOC_POST","FUGR/FF","/sap/bc/adt/functions/groups/fins_bse_clr_rdiff/fmodules/fins_acdoca_clr_rdiff_insert","",""
"SAPLMGMM_SCREEN_6004","SAPLMGMM_SCREEN_6004","SAPLMGMM","SCREEN","","",""
"SAPLMGMM_SCREEN_6010","SAPLMGMM_SCREEN_6010","SAPLMGMM","SCREEN","","",""
"SAPLMGMM_SCREEN_6020","SAPLMGMM_SCREEN_6020","SAPLMGMM","SCREEN","","",""
"9a3d6977-9e06-4846-8770-ce7e2caccd6e","T137T","MG","TABL/DT","/sap/bc/adt/ddic/tables/t137t","",""
