"abap_program_id","related_abap_program_id","relation_type"
"a050815a-fae3-432f-acec-c01d48638ab8","cd33abe2-e5a5-4754-9b48-9941f00c6af5","Function Calls"
"f1936dbb-cd65-4cf3-b63e-a62422d8d320","1d8118f9-3042-4bd8-b88b-849d45ecafe4","Includes"
"SAPLMGMM_SCREEN_4030","3aa5fad8-d8df-4e7e-b513-2da25297ba91","MODULE"
"6c3d74d7-a551-4721-a3ee-2c99084a0a33","f9fd3e3f-ee61-4cd8-9636-143f1ec8ed01","Database Tables"
"c3b730a4-6368-4d2a-ac3b-8c56e810f648","edfd8f52-8905-4661-a11d-10edf5c03472","Database Tables"
"2c96c8b7-9f8e-4bbb-8f7e-eadcc38a079f","cece66f5-bbfe-4337-9333-c3c1f4f33ed5","Database Tables"
"38862e8f-d2db-460c-9bf6-0cae6cbf8098","12462eb2-2118-48e8-955a-5fa9ce4ac9a5","Function Calls"
"610d76eb-27fb-43d1-96b8-0d8ae4545c81","cece66f5-bbfe-4337-9333-c3c1f4f33ed5","Database Tables"
"d93f2307-df80-4693-8f2d-b8f0ee9f0991","2b425520-9cb4-44f4-8297-c688d266b29b","Function Calls"
"44212958-bf44-428f-9de3-c9031bb77f51","0b4ee6d3-fe1b-4838-b0f1-7d50aee2e67f","Function Calls"
"38862e8f-d2db-460c-9bf6-0cae6cbf8098","38ffee3f-493f-4524-b7e8-6a4d97658380","Function Calls"
"c5cb493e-3643-41ca-9426-0413f7fbc3b3","72dfa1ba-7d1f-4404-84b0-0ef48ec14d9b","Database Tables"
"18c9fe90-f8fb-4b2a-8171-784edc062a38","af4cb12a-0480-4b84-8379-0dba88cb1b53","Database Tables"
"211238dc-11fd-478e-96df-5928be1c1144","c507c5b3-7035-4264-be54-069dc465ab02","Includes"
"SAPLMGMM_SCREEN_4030","c7c5ee81-3459-4c42-9a18-f39a9d4323e9","MODULE"
"ddd4ebe4-acc7-4305-83d0-2e047effc934","7ac80c10-589f-41d6-976d-04f65d2ea15a","Function Calls"
"963214c8-25e9-48d3-9857-9ed00a294ec3","af7965dd-33b7-4833-8887-675294400f19","Function Calls"
"c3b730a4-6368-4d2a-ac3b-8c56e810f648","3d4661b5-c1ff-40a1-a800-91772e2ee81e","Database Tables"
"cf83cbcb-1b29-4fe8-aa1b-141337b3c697","3655de31-2124-488c-a017-3d95a3528c6e","Database Tables"
"d1e901de-4c29-47ec-95ee-ca17cc1cef16","203e65c2-8177-48d7-83c3-2fc5d704c717","Includes"
"fd6a7bf2-46ff-4a81-99f9-7db0ffe99cab","fe27c141-6cb2-450c-9e7a-4872acda9a32","Function Calls"
"54209aa4-2fd9-48de-bc41-1529cc139d35","bce4f4d5-19cc-490a-9b9a-bfee14f6b29f","Database Tables"
"51d1fe5b-111c-4d70-8b80-c088a07a620f","4524c535-349b-4574-9f7a-e9723cec69b8","Database Tables"
"c507c5b3-7035-4264-be54-069dc465ab02","9d24b373-88a9-43f9-842c-235d2a3018fe","Includes"
"c0921d68-f8d5-4775-a4a9-18c82b2d3233","e80e822c-a288-471d-9529-aedbf82a31c2","Database Tables"
"5a41ddb5-ead8-4c80-86cd-72e871ada3a3","542d8377-e92a-491c-a3e5-946d9ec94a23","Function Calls"
"4b5ea85b-4f3d-4db4-8f1c-e742f3de23ac","8795e44c-2962-4c5e-85b8-261ea4957d0b","Database Tables"
"9bc86089-caa4-4977-b07f-7aae42895c04","4d4b6a42-8095-4c32-9180-5f5124d5ffa8","Function Calls"
"548b3697-2dbb-4610-8281-0fdf25f12e97","ac299fe0-3bc7-4941-adb0-d2dd9b4c1ef4","Includes"
"bda68b15-5045-4aa2-952d-f3b6f2855c17","faa8f206-17d8-412f-9b6d-5ff717390ca1","Function Calls"
"5233231a-8938-47ca-9989-997d977a90d7","38634490-1072-4c2e-992c-890d9d4552ff","Function Calls"
"fe27c141-6cb2-450c-9e7a-4872acda9a32","1feef377-9671-46e8-b899-477769fba103","Function Calls"
"c507c5b3-7035-4264-be54-069dc465ab02","d172af5a-518b-4646-a2d1-12e22f0091ab","Includes"
"7bfb506b-10c9-4dd9-bb18-715661711320","a01f41e2-5b26-42f0-a37c-209cdf6500d3","Database Tables"
"SAPLMGMM_SCREEN_5110","3e839b8a-b790-4b34-80aa-b933a4278b35","MODULE"
"a7a45e18-2bb7-45bb-bd93-bf2306f6510b","9ae43497-571f-46f7-aa6f-5d196286f487","Database Tables"
"c1bddbd5-4c32-4d7f-b7fd-00220644a194","7ac80c10-589f-41d6-976d-04f65d2ea15a","Function Calls"
"SAPLMGMM_SCREEN_0081","4727ade1-669c-4a73-b9b6-b7e4d6f65e34","MODULE"
"9a27e1bb-b7ac-4523-b184-ac8bed57ea91","7e37bd24-df82-4a7b-81e4-862c160d89db","Database Tables"
"SAPLMGMM_SCREEN_3020","3e839b8a-b790-4b34-80aa-b933a4278b35","MODULE"
"7f74ced6-a277-45c6-9904-0d33accd6576","5324b079-3cc5-49b8-bb24-9714a00a6815","Database Tables"
"ff7c886c-b426-426a-91fd-571a732f2206","89c49e67-13ab-4ef2-b1e6-bb3ad67208ca","Database Tables"
"287dd822-3f8e-4572-ba1b-cd62d3d9600e","4ebbf4a5-5c6e-4f7b-8fca-bc14c27cdabb","Includes"
"a8783efd-6d10-44dd-9c1c-75b68bbb8d57","cb6505ac-66a4-48b3-9e49-91080a0c9de3","Function Calls"
"c836e60a-d29b-42e1-81d2-ee489470bc8b","1feef377-9671-46e8-b899-477769fba103","Function Calls"
"441f6c4b-9d78-458c-9249-dd00a7794420","4550a87d-ed4e-49f4-8c79-48566e0ca7d8","Includes"
"8e6760d4-110a-406b-87f2-c713961166e8","d8f30333-6abc-4126-8196-c5401de3d966","Database Tables"
